Name,Ch4EmissionRate,Ch4EmissionRateUnit,Co2eEmissionRate,Co2eEmissionRateUnit,Co2EmissionRate,Co2EmissionRateUnit,Country,EmissionFactorDataSource,EmissionFactorUpdateYear,LocationBasedOilMixPct,LocationBasedHydroMixPct,LocationBasedWindMixPct,LocBasedGeothermalMixPct,LocationBasedBiomassMixPct,LocationBasedCoalMixPct,LocationBasedGasMixPct,LocationBasedNuclearMixPct,LocationBasedSolarMixPct,LocBasedOtherFossilFuelMixPct,LocationBasedOtherFuelMixPct,LocBasedRenewableEnergyPct,MarketBasedOilMixPct,MarketBasedHydroMixPct,MarketBasedWindMixPct,MktBasedGeothermalMixPct,MarketBasedBiomassMixPct,MarketBasedCoalMixPct,MarketBasedGasMixPct,MarketBasedNuclearMixPct,MarketBasedSolarMixPct,MktBasedOtherFossilFuelMixPct,MarketBasedOtherFuelMixPct,MktBsdCo2eEmissionRate,MktBsdCo2eEmissionRateUnit,N2oEmissionRate,N2oEmissionRateUnit,PostalCodeSet,State,GridSubregion,OtherEmssnFctr
Aland Islands - AX - electricityMap 2020,,,37.57,G_PER_KWH,,,AX,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0.1477911875,0,99.85220881,0,0,0,0,0,0,,0,,0.1477911875,0,99.85220881,0,0,0,0,0,0,,0,37.57,G_PER_KWH,,,,,,Fuel Conversion Factors - DEFRA EPA 2021
Bosnia and Herzegovina - BA - electricityMap 2020,,,513.37,G_PER_KWH,,,BA,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0,32.75281598,0.800656278,0,0,66.44652774,0,0,0,,0,,0,32.75281598,0.800656278,0,0,66.44652774,0,0,0,,0,513.37,G_PER_KWH,,,,,,Fuel Conversion Factors - DEFRA EPA 2021
Belgium - BE - electricityMap 2020,,,226.35,G_PER_KWH,,,BE,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0.0035315488,0.1568771824,15.54089294,0,4.970321064,0,28.4865403,40.8154664,2.742420829,,7.283949735,,0.0035315488,0.1568771824,15.54089294,0,4.970321064,0,28.4865403,40.8154664,2.742420829,,7.283949735,226.35,G_PER_KWH,,,,,,Fuel Conversion Factors - DEFRA EPA 2021
Bulgaria - BG - electricityMap 2020,,,363.74,G_PER_KWH,,,BG,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0,7.300206767,3.302257947,0,0.4606503425,37.60511572,9.722185291,39.62293635,1.986647582,,0,,0,7.300206767,3.302257947,0,0.4606503425,37.60511572,9.722185291,39.62293635,1.986647582,,0,363.74,G_PER_KWH,,,,,,Fuel Conversion Factors - DEFRA EPA 2021
Bolivia - BO - electricityMap 2020,,,360.61,G_PER_KWH,,,BO,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0,22.79189508,3.484967196,0,0,0,0,0,0,,73.72313772,,0,22.79189508,3.484967196,0,0,0,0,0,0,,73.72313772,360.61,G_PER_KWH,,,,,,Fuel Conversion Factors - DEFRA EPA 2021
Brazil - Central Brazil - BR-CS - electricityMap 2020,,,132.19,G_PER_KWH,,,BR,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0,78.7945983,0,0,0,0,0,5.117438092,0.8544483056,,15.23351531,,0,78.7945983,0,0,0,0,0,5.117438092,0.8544483056,,15.23351531,132.19,G_PER_KWH,,,,,Central Brazil,Fuel Conversion Factors - DEFRA EPA 2021
Brazil - North Brazil - BR-N - electricityMap 2020,,,228.35,G_PER_KWH,,,BR,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0,58.84258316,4.60196142,0,0,0,0,0,0,,36.55545542,,0,58.84258316,4.60196142,0,0,0,0,0,0,,36.55545542,228.35,G_PER_KWH,,,,,North Brazil,Fuel Conversion Factors - DEFRA EPA 2021
Brazil - North-East Brazil - BR-NE - electricityMap 2020,,,107.03,G_PER_KWH,,,BR,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0,38.36399151,44.61218307,0,0,0,0,0,4.421957181,,12.60186824,,0,38.36399151,44.61218307,0,0,0,0,0,4.421957181,,12.60186824,107.03,G_PER_KWH,,,,,North-East Brazil,Fuel Conversion Factors - DEFRA EPA 2021
Brazil - South Brazil - BR-S - electricityMap 2020,,,170.76,G_PER_KWH,,,BR,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0,70.60657444,9.52303425,0,0,0,0,0,0,,19.87039131,,0,70.60657444,9.52303425,0,0,0,0,0,0,,19.87039131,170.76,G_PER_KWH,,,,,South Brazil,Fuel Conversion Factors - DEFRA EPA 2021
Canada - Alberta - CA-AB - electricityMap 2020,,,531.53,G_PER_KWH,,,CA,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0,1.873730725,8.462303738,0,0,28.315056,58.62029741,0,0,,2.728612132,,0,1.873730725,8.462303738,0,0,28.315056,58.62029741,0,0,,2.728612132,531.53,G_PER_KWH,,,,,Alberta,Fuel Conversion Factors - DEFRA EPA 2021
Canada - Nova Scotia - CA-NS - electricityMap 2020,,,479.56,G_PER_KWH,,,CA,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0,2.64705668,21.51815226,0,2.634141505,54.93066422,18.26998533,0,0,,0,,0,2.64705668,21.51815226,0,2.634141505,54.93066422,18.26998533,0,0,,0,479.56,G_PER_KWH,,,,,Nova Scotia,Fuel Conversion Factors - DEFRA EPA 2021
Canada - Ontario - CA-ON - electricityMap 2020,,,43.4,G_PER_KWH,,,CA,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0,25.19201171,9.75623777,0,0.228580876,0,5.84443401,58.61545076,0.3632848711,,0,,0,25.19201171,9.75623777,0,0.228580876,0,5.84443401,58.61545076,0.3632848711,,0,43.4,G_PER_KWH,,,,,Ontario,Fuel Conversion Factors - DEFRA EPA 2021
Canada - Prince Edward Island - CA-PE - electricityMap 2020,,,124.91,G_PER_KWH,,,CA,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0.147738546,0,99.85226145,0,0,0,0,0,0,,0,,0.147738546,0,99.85226145,0,0,0,0,0,0,,0,124.91,G_PER_KWH,,,,,Prince Edward Island,Fuel Conversion Factors - DEFRA EPA 2021
Canada - Yukon - CA-YT - electricityMap 2020,,,59.93,G_PER_KWH,,,CA,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0,94.67943191,0,0,0,0,0,0,0,,5.320568085,,0,94.67943191,0,0,0,0,0,0,0,,5.320568085,59.93,G_PER_KWH,,,,,Yukon,Fuel Conversion Factors - DEFRA EPA 2021
Chile - SIC - CL-SEN - electricityMap 2020,,,231.18,G_PER_KWH,,,CL,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0,34.76348108,8.54860926,0.3283539384,0,0,0,0,12.6681817,,43.69137402,,0,34.76348108,8.54860926,0.3283539384,0,0,0,0,12.6681817,,43.69137402,231.18,G_PER_KWH,,,,,SIC,Fuel Conversion Factors - DEFRA EPA 2021
Costa Rica - CR - electricityMap 2020,,,35.68,G_PER_KWH,,,CR,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0.01308647291,80.29321444,7.648987278,10.74893312,0.1849471765,0,0,0,0.06492057001,,1.045910944,,0.01308647291,80.29321444,7.648987278,10.74893312,0.1849471765,0,0,0,0.06492057001,,1.045910944,35.68,G_PER_KWH,,,,,,Fuel Conversion Factors - DEFRA EPA 2021
Cyprus - CY - electricityMap 2020,,,579.83,G_PER_KWH,,,CY,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,88.27042438,0,4.067462718,0,1.15470467,0,0,0,6.507408228,,0,,88.27042438,0,4.067462718,0,1.15470467,0,0,0,6.507408228,,0,579.83,G_PER_KWH,,,,,,Fuel Conversion Factors - DEFRA EPA 2021
Czech Republic - CZ - electricityMap 2020,,,415.52,G_PER_KWH,,,CZ,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0.1488125611,2.91442573,0.8706258157,0,3.610183984,40.32873113,8.574443026,38.03283693,1.53751423,,3.982426593,,0.1488125611,2.91442573,0.8706258157,0,3.610183984,40.32873113,8.574443026,38.03283693,1.53751423,,3.982426593,415.52,G_PER_KWH,,,,,,Fuel Conversion Factors - DEFRA EPA 2021
Germany - DE - electricityMap 2020,,,347.17,G_PER_KWH,,,DE,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0.7664378193,2.914276665,25.41673575,0.04065504239,8.579965242,31.01740503,12.56732792,12.41077206,5.304257022,,0.9821674546,,0.7664378193,2.914276665,25.41673575,0.04065504239,8.579965242,31.01740503,12.56732792,12.41077206,5.304257022,,0.9821674546,347.17,G_PER_KWH,,,,,,Fuel Conversion Factors - DEFRA EPA 2021
Denmark - Bornholm - DK-BHM - electricityMap 2020,,,57.4,G_PER_KWH,,,DK,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0,0,65.97622565,0,25.46423846,0,0,0,8.559535888,,0,,0,0,65.97622565,0,25.46423846,0,0,0,8.559535888,,0,57.4,G_PER_KWH,,,,,Bornholm,Fuel Conversion Factors - DEFRA EPA 2021
Denmark - West Denmark - DK-DK1 - electricityMap 2020,,,143.01,G_PER_KWH,,,DK,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0.5782689253,0.04700493176,62.84160902,0,12.37339418,14.26733506,7.798593341,0,1.950494153,,0.1433003838,,0.5782689253,0.04700493176,62.84160902,0,12.37339418,14.26733506,7.798593341,0,1.950494153,,0.1433003838,143.01,G_PER_KWH,,,,,West Denmark,Fuel Conversion Factors - DEFRA EPA 2021
Denmark - East Denmark - DK-DK2 - electricityMap 2020,,,148.72,G_PER_KWH,,,DK,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,2.121767437,0,43.73197985,0,34.26303229,9.718873395,7.169457826,0,2.994889203,,0,,2.121767437,0,43.73197985,0,34.26303229,9.718873395,7.169457826,0,2.994889203,,0,148.72,G_PER_KWH,,,,,East Denmark,Fuel Conversion Factors - DEFRA EPA 2021
Dominican Republic - DO - electricityMap 2020,,,591.64,G_PER_KWH,,,DO,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,10.28424763,6.843168246,4.532587395,0,1.204888686,36.19001332,25.43114314,0,2.615519741,,12.89843184,,10.28424763,6.843168246,4.532587395,0,1.204888686,36.19001332,25.43114314,0,2.615519741,,12.89843184,591.64,G_PER_KWH,,,,,,Fuel Conversion Factors - DEFRA EPA 2021
Estonia - EE - electricityMap 2020,,,508.71,G_PER_KWH,,,EE,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0,0.2672928456,17.73044782,0,14.4551119,57.49706939,9.09931581,0,0.2663198,,0.6844424372,,0,0.2672928456,17.73044782,0,14.4551119,57.49706939,9.09931581,0,0.2663198,,0.6844424372,508.71,G_PER_KWH,,,,,,Fuel Conversion Factors - DEFRA EPA 2021
Spain - Spain - ES - electricityMap 2020,,,168.37,G_PER_KWH,,,ES,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0,0.2672928456,17.73044782,0,14.4551119,57.49706939,9.09931581,0,0.2663198,,0.6844424372,,0,0.2672928456,17.73044782,0,14.4551119,57.49706939,9.09931581,0,0.2663198,,0.6844424372,168.37,G_PER_KWH,,,,,Spain,Fuel Conversion Factors - DEFRA EPA 2021
Spain - Fuerteventura/Lanzarote - ES-CN-FVLZ - electricityMap 2020,,,593.5,G_PER_KWH,,,ES,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,91.06310443,0,7.147514199,0,0,0,0,0,1.789381366,,0,,91.06310443,0,7.147514199,0,0,0,0,0,1.789381366,,0,593.5,G_PER_KWH,,,,,Fuerteventura/Lanzarote,Fuel Conversion Factors - DEFRA EPA 2021
Spain - Gran Canaria - ES-CN-GC - electricityMap 2020,,,559.58,G_PER_KWH,,,ES,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,85.78515333,0,12.936541,0,0,0,0,0,1.278305679,,0,,85.78515333,0,12.936541,0,0,0,0,0,1.278305679,,0,559.58,G_PER_KWH,,,,,Gran Canaria,Fuel Conversion Factors - DEFRA EPA 2021
Spain - El Hierro - ES-CN-HI - electricityMap 2020,,,413.66,G_PER_KWH,,,ES,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,60.2529871,0,39.7470129,0,0,0,0,0,0,,0,,60.2529871,0,39.7470129,0,0,0,0,0,0,,0,413.66,G_PER_KWH,,,,,El Hierro,Fuel Conversion Factors - DEFRA EPA 2021
Spain - Isla de la Gomera - ES-CN-IG - electricityMap 2020,,,650,G_PER_KWH,,,ES,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,100,0,0,0,0,0,0,0,0,,0,,100,0,0,0,0,0,0,0,0,,0,650,G_PER_KWH,,,,,Isla de la Gomera,Fuel Conversion Factors - DEFRA EPA 2021
Spain - La Palma - ES-CN-LP - electricityMap 2020,,,601.72,G_PER_KWH,,,ES,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,92.33579546,0,5.624107909,0,0,0,0,0,2.040096632,,0,,92.33579546,0,5.624107909,0,0,0,0,0,2.040096632,,0,601.72,G_PER_KWH,,,,,La Palma,Fuel Conversion Factors - DEFRA EPA 2021
Spain - Tenerife - ES-CN-TE - electricityMap 2020,,,539.08,G_PER_KWH,,,ES,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,82.39431936,0,12.98538,0,0,0,0,0,4.620300639,,0,,82.39431936,0,12.98538,0,0,0,0,0,4.620300639,,0,539.08,G_PER_KWH,,,,,Tenerife,Fuel Conversion Factors - DEFRA EPA 2021
Spain - Formentera - ES-IB-FO - electricityMap 2020,,,417.76,G_PER_KWH,,,ES,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0,0,0,0,0,0,21.19856728,0,78.80143272,,0,,0,0,0,0,0,0,21.19856728,0,78.80143272,,0,417.76,G_PER_KWH,,,,,Formentera,Fuel Conversion Factors - DEFRA EPA 2021
Spain - Ibiza - ES-IB-IZ - electricityMap 2020,,,435.85,G_PER_KWH,,,ES,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,34.28460307,0,0,0,0,0,65.71539693,0,0,,0,,34.28460307,0,0,0,0,0,65.71539693,0,0,,0,435.85,G_PER_KWH,,,,,Ibiza,Fuel Conversion Factors - DEFRA EPA 2021
Spain - Mallorca - ES-IB-MA - electricityMap 2020,,,421.3,G_PER_KWH,,,ES,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0.768117672,12.75201522,25.53058783,0,2.749570617,1.405845589,26.03961895,23.72865113,6.477206702,,0.5483862891,,0.768117672,12.75201522,25.53058783,0,2.749570617,1.405845589,26.03961895,23.72865113,6.477206702,,0.5483862891,421.3,G_PER_KWH,,,,,Mallorca,Fuel Conversion Factors - DEFRA EPA 2021
Spain - Menorca - ES-IB-ME - electricityMap 2020,,,558.62,G_PER_KWH,,,ES,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0.768117672,12.75201522,25.53058783,0,2.749570617,1.405845589,26.03961895,23.72865113,6.477206702,,0.5483862891,,0.768117672,12.75201522,25.53058783,0,2.749570617,1.405845589,26.03961895,23.72865113,6.477206702,,0.5483862891,558.62,G_PER_KWH,,,,,Menorca,Fuel Conversion Factors - DEFRA EPA 2021
Spain - Finland - FI - electricityMap 2020,,,147.97,G_PER_KWH,,,ES,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0.02927788948,22.87019899,13.1705468,0,10.3291867,10.30985348,7.49810575,34.57783667,0,,1.214993728,,0.02927788948,22.87019899,13.1705468,0,10.3291867,10.30985348,7.49810575,34.57783667,0,,1.214993728,147.97,G_PER_KWH,,,,,Finland,Fuel Conversion Factors - DEFRA EPA 2021
Faroe Islands - FO - electricityMap 2020,,,360.31,G_PER_KWH,,,FO,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,53.95667384,34.46636727,11.57695889,0,0,0,0,0,0,,0,,53.95667384,34.46636727,11.57695889,0,0,0,0,0,0,,0,360.31,G_PER_KWH,,,,,,Fuel Conversion Factors - DEFRA EPA 2021
France - FR - electricityMap 2020,,,68.33,G_PER_KWH,,,FR,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0.3301412167,10.05411133,8.224750882,0,1.431911473,0.5068030937,8.052602929,69.64594952,1.753729551,,0,,0.3301412167,10.05411133,8.224750882,0,1.431911473,0.5068030937,8.052602929,69.64594952,1.753729551,,0,68.33,G_PER_KWH,,,,,,Fuel Conversion Factors - DEFRA EPA 2021
United Kingdom - Great Britain - GB - electricityMap 2020,,,244.52,G_PER_KWH,,,GB,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0,1.932618579,23.37395206,0,6.866609777,1.484977857,42.84112931,20.31559333,2.514711157,,0.670407929,,0,1.932618579,23.37395206,0,6.866609777,1.484977857,42.84112931,20.31559333,2.514711157,,0.670407929,244.52,G_PER_KWH,,,,,Great Britain,Fuel Conversion Factors - DEFRA EPA 2021
United Kingdom - Northern Ireland - GB-NIR - electricityMap 2020,,,363.73,G_PER_KWH,,,GB,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0,1.932618579,23.37395206,0,6.866609777,1.484977857,42.84112931,20.31559333,2.514711157,,0.670407929,,0,1.932618579,23.37395206,0,6.866609777,1.484977857,42.84112931,20.31559333,2.514711157,,0.670407929,363.73,G_PER_KWH,,,,,Northern Ireland,Fuel Conversion Factors - DEFRA EPA 2021
United Kingdom - Orkney Islands - GB-ORK - electricityMap 2020,,,77.29,G_PER_KWH,,,GB,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0,1.932618579,23.37395206,0,6.866609777,1.484977857,42.84112931,20.31559333,2.514711157,,0.670407929,,0,1.932618579,23.37395206,0,6.866609777,1.484977857,42.84112931,20.31559333,2.514711157,,0.670407929,77.29,G_PER_KWH,,,,,Orkney Islands,Fuel Conversion Factors - DEFRA EPA 2021
Georgia - GE - electricityMap 2020,,,253.96,G_PER_KWH,,,GE,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0,59.20760176,0.7477010786,0,0,0,40.04469717,0,0,,0,,0,59.20760176,0.7477010786,0,0,0,40.04469717,0,0,,0,253.96,G_PER_KWH,,,,,,Fuel Conversion Factors - DEFRA EPA 2021
Greece - GR - electricityMap 2020,,,390.44,G_PER_KWH,,,GR,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0,5.252627459,22.1365584,0,0,15.7681835,48.47143671,0,8.371193938,,0,,0,5.252627459,22.1365584,0,0,15.7681835,48.47143671,0,8.371193938,,0,390.44,G_PER_KWH,,,,,,Fuel Conversion Factors - DEFRA EPA 2021
Guatemala - GT - electricityMap 2020,,,204.55,G_PER_KWH,,,GT,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,2.576870832,70.45125499,2.502661003,2.301868882,0.1198759379,20.43215487,0.1678440183,0,1.447469467,,0,,2.576870832,70.45125499,2.502661003,2.301868882,0.1198759379,20.43215487,0.1678440183,0,1.447469467,,0,204.55,G_PER_KWH,,,,,,Fuel Conversion Factors - DEFRA EPA 2021
Croatia - HR - electricityMap 2020,,,245.23,G_PER_KWH,,,HR,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0,0,12.15038137,0,0,0,0,0,0.3299406501,,87.51967798,,0,0,12.15038137,0,0,0,0,0,0.3299406501,,87.51967798,245.23,G_PER_KWH,,,,,,Fuel Conversion Factors - DEFRA EPA 2021
Hungary - HU - electricityMap 2020,,,274.62,G_PER_KWH,,,HU,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,0.02411000476,0.6334719908,1.68492858,0.002977288044,3.410193041,13.46068378,27.70286946,47.80334731,3.321488758,,1.955929786,,0.02411000476,0.6334719908,1.68492858,0.002977288044,3.410193041,13.46068378,27.70286946,47.80334731,3.321488758,,1.955929786,274.62,G_PER_KWH,,,,,,Fuel Conversion Factors - DEFRA EPA 2021
Ireland - IE - electricityMap 2020,,,301.87,G_PER_KWH,,,IE,"Based on data from electricityMap API, a global electricity emissions database. For more information, please visit api.electricitymap.org.",2020,7.358355104,4.245155699,45.36534035,0,0,9.405940086,33.58388207,0,0,,0.04132669423,,7.358355104,4.245155699,45.36534035,0,0,9.405940086,33.58388207,0,0,,0.04132669423,301.87,G_PER_KWH,,,,,,Fuel Conversion Factors - DEFRA EPA 2021
